Aanwezig op IC verdacht of bewezen Corona,Aanwezig op verpleegafdeling verdacht of bewezen Corona,Opname IC Corona,Opname IC verdacht,Opname IC totaal,Opname verpleegafdeling Corona,Opname verpleegafdeling verdacht,Opname verpleegafdeling totaal,Date_adj,Infection
246,1310,24,0,24,200,4,204,2021-11-01,10966
231,1175,23,0,23,130,3,133,2021-10-31,8817
222,1119,13,0,13,139,2,141,2021-10-30,8487
234,1101,27,0,27,157,2,159,2021-10-29,8424
220,1026,23,0,23,136,6,142,2021-10-28,7930
216,965,21,0,21,145,5,150,2021-10-27,8498
206,899,23,0,23,116,1,117,2021-10-26,7804
205,873,15,0,15,119,4,123,2021-10-25,7678
196,792,19,0,19,75,3,78,2021-10-24,6268
191,765,7,0,7,82,2,84,2021-10-23,6101
195,759,24,0,24,88,2,90,2021-10-22,6140
177,745,13,0,13,105,2,107,2021-10-21,5915
175,715,21,0,21,108,0,108,2021-10-20,6317
163,679,18,1,19,91,6,97,2021-10-19,5989
159,656,14,0,14,102,1,103,2021-10-18,5605
150,594,17,0,17,58,2,60,2021-10-17,4310
139,565,10,0,10,51,3,54,2021-10-16,4133
142,572,10,0,10,70,4,74,2021-10-15,4105
149,552,11,0,11,69,3,72,2021-10-14,3870
148,537,12,0,12,63,2,65,2021-10-13,3823
143,520,7,0,7,60,3,63,2021-10-12,3873
147,492,12,0,12,67,3,70,2021-10-11,3851
141,450,10,0,10,43,2,45,2021-10-10,3071
138,432,12,1,13,38,3,41,2021-10-09,2955
130,435,11,0,11,53,3,56,2021-10-08,2788
128,425,5,0,5,39,1,40,2021-10-07,2572
134,432,13,0,13,47,3,50,2021-10-06,2662
132,421,6,0,6,43,3,46,2021-10-05,2767
143,410,13,0,13,62,3,65,2021-10-04,2540
136,368,8,0,8,32,0,32,2021-10-03,2114
134,357,8,0,8,32,3,35,2021-10-02,1973
139,375,9,0,9,46,3,49,2021-10-01,1888
139,368,4,1,5,41,3,44,2021-09-30,1707
148,355,7,0,7,30,1,31,2021-09-29,1827
155,360,6,0,6,42,2,44,2021-09-28,1796
164,363,3,0,3,45,1,46,2021-09-27,1786
173,333,6,0,6,27,1,28,2021-09-26,1547
177,327,8,0,8,33,0,33,2021-09-25,1537
183,348,7,0,7,38,2,40,2021-09-24,1580
188,360,11,0,11,39,5,44,2021-09-23,1681
187,368,6,0,6,29,1,30,2021-09-22,1638
201,389,13,0,13,25,2,27,2021-09-21,1744
202,412,6,0,6,36,1,37,2021-09-20,1828
200,400,12,0,12,29,1,30,2021-09-19,1561
194,405,7,0,7,38,3,41,2021-09-18,1643
198,426,8,0,8,45,4,49,2021-09-17,1666
202,435,6,0,6,43,0,43,2021-09-16,1854
205,443,16,0,16,46,2,48,2021-09-15,2035
205,469,15,0,15,46,5,51,2021-09-14,2009
201,486,4,0,4,53,3,56,2021-09-13,2074
201,468,4,0,4,46,2,48,2021-09-12,1851
210,458,6,0,6,45,2,47,2021-09-11,1926
217,465,15,0,15,42,5,47,2021-09-10,2064
219,475,14,0,14,50,2,52,2021-09-09,2210
223,493,12,0,12,67,6,73,2021-09-08,2357
225,488,15,0,15,55,0,55,2021-09-07,2419
222,480,13,0,13,57,2,59,2021-09-06,2574
217,462,12,0,12,33,1,34,2021-09-05,2187
215,461,12,0,12,54,2,56,2021-09-04,2298
216,482,16,0,16,69,2,71,2021-09-03,2481
211,473,18,0,18,53,3,56,2021-09-02,2334
209,474,14,0,14,66,1,67,2021-09-01,2591
216,484,9,0,9,59,0,59,2021-08-31,2681
223,507,11,0,11,66,1,67,2021-08-30,2572
222,475,8,0,8,40,0,40,2021-08-29,2200
228,465,13,0,13,52,0,52,2021-08-28,2329
227,483,13,0,13,75,1,76,2021-08-27,2413
223,482,16,0,16,63,3,66,2021-08-26,2351
226,484,13,0,13,53,3,56,2021-08-25,2515
229,497,15,0,15,54,3,57,2021-08-24,2552
231,513,17,1,18,61,3,64,2021-08-23,2634
219,485,11,0,11,59,1,60,2021-08-22,2336
216,464,13,0,13,41,1,42,2021-08-21,2365
217,498,15,0,15,48,0,48,2021-08-20,2546
217,505,14,0,14,69,3,72,2021-08-19,2396
217,509,19,0,19,55,0,55,2021-08-18,2461
206,526,13,0,13,57,3,60,2021-08-17,2479
203,537,11,0,11,76,3,79,2021-08-16,2626
202,505,12,0,12,60,0,60,2021-08-15,2198
202,488,12,0,12,50,2,52,2021-08-14,2292
204,493,14,0,14,80,0,80,2021-08-13,2308
211,476,10,0,10,69,3,72,2021-08-12,2443
217,464,17,0,17,56,3,59,2021-08-11,2423
219,484,14,0,14,59,2,61,2021-08-10,2439
217,483,13,0,13,58,3,61,2021-08-09,2497
213,472,16,0,16,48,1,49,2021-08-08,2142
215,484,19,0,19,47,1,48,2021-08-07,2193
215,501,13,0,13,59,2,61,2021-08-06,2307
214,509,23,0,23,64,3,67,2021-08-05,2383
210,525,19,0,19,64,3,67,2021-08-04,2417
204,551,13,0,13,53,3,56,2021-08-03,2600
207,597,18,0,18,76,3,79,2021-08-02,2745
197,571,19,0,19,60,1,61,2021-08-01,2429
187,557,17,0,17,64,0,64,2021-07-31,2465
180,578,16,0,16,81,2,83,2021-07-30,2647
181,573,14,0,14,80,2,82,2021-07-29,2745
177,566,22,0,22,82,2,84,2021-07-28,3015
168,563,23,1,24,80,6,86,2021-07-27,3314
156,544,19,0,19,95,1,96,2021-07-26,3527
146,487,16,0,16,75,2,77,2021-07-25,3395
137,475,25,0,25,68,1,69,2021-07-24,3724
126,466,15,0,15,93,2,95,2021-07-23,4264
118,428,11,0,11,66,3,69,2021-07-22,4646
114,418,15,0,15,74,2,76,2021-07-21,5171
106,406,11,0,11,75,2,77,2021-07-20,5793
103,371,23,0,23,86,2,88,2021-07-19,6302
85,318,6,0,6,57,1,58,2021-07-18,6546
82,280,4,0,4,43,0,43,2021-07-17,7109
82,262,9,0,9,48,2,50,2021-07-16,7805
78,236,5,0,5,41,4,45,2021-07-15,8732
78,216,2,0,2,32,7,39,2021-07-14,9700
81,193,5,0,5,24,4,28,2021-07-13,11247
85,185,3,0,3,21,4,25,2021-07-12,11832
82,173,5,0,5,17,4,21,2021-07-11,9887
81,161,2,0,2,16,1,17,2021-07-10,9264
84,155,3,0,3,13,2,15,2021-07-09,9420
86,153,0,0,0,17,0,17,2021-07-08,8700
93,147,0,1,1,11,2,13,2021-07-07,9806
101,148,1,0,1,4,3,7,2021-07-06,9674
106,157,1,0,1,9,2,11,2021-07-05,6682
107,154,1,1,2,11,0,11,2021-07-04,3816
107,150,1,0,1,4,1,5,2021-07-03,2271
107,156,4,0,4,7,2,9,2021-07-02,1599
111,166,0,0,0,10,3,13,2021-07-01,1370
123,165,1,0,1,4,6,10,2021-06-30,1253
128,179,0,0,0,10,2,12,2021-06-29,1052
139,180,2,0,2,7,1,8,2021-06-28,851
140,187,3,0,3,8,2,10,2021-06-27,531
145,185,0,0,0,11,3,14,2021-06-26,548
149,197,3,0,3,16,2,18,2021-06-25,565
157,211,1,0,1,10,1,11,2021-06-24,569
171,232,2,0,2,16,5,21,2021-06-23,650
183,241,4,0,4,16,3,19,2021-06-22,665
193,270,5,0,5,15,3,18,2021-06-21,644
195,270,3,0,3,17,5,22,2021-06-20,567
205,273,5,0,5,12,3,15,2021-06-19,617
218,301,4,0,4,29,5,34,2021-06-18,725
228,307,5,0,5,27,2,29,2021-06-17,719
239,311,6,1,7,26,3,29,2021-06-16,814
251,331,4,0,4,23,5,28,2021-06-15,908
265,375,7,0,7,42,6,48,2021-06-14,1031
265,350,2,0,2,23,3,26,2021-06-13,940
269,349,7,0,7,22,3,25,2021-06-12,923
282,398,6,0,6,34,0,34,2021-06-11,1067
298,425,4,0,4,39,0,39,2021-06-10,1210
310,455,9,0,9,38,2,40,2021-06-09,1268
321,511,8,0,8,52,1,53,2021-06-08,1360
339,543,5,0,5,47,5,52,2021-06-07,1502
343,534,5,0,5,43,7,50,2021-06-06,1370
353,540,7,0,7,42,5,47,2021-06-05,1597
369,580,5,0,5,78,5,83,2021-06-04,1660
396,576,6,0,6,55,3,58,2021-06-03,1881
424,614,13,0,13,63,5,68,2021-06-02,2156
445,657,7,0,7,66,4,70,2021-06-01,2263
470,709,9,0,9,84,7,91,2021-05-31,2414
489,679,12,0,12,54,5,59,2021-05-30,2228
501,708,10,1,11,57,3,60,2021-05-29,2341
521,795,17,0,17,89,1,90,2021-05-28,2532
540,834,17,0,17,89,4,93,2021-05-27,2874
553,902,13,0,13,80,2,82,2021-05-26,3186
579,973,18,0,18,119,3,122,2021-05-25,3295
592,946,29,1,30,99,2,101,2021-05-24,2913
592,951,21,0,21,82,6,88,2021-05-23,2615
600,983,25,0,25,89,4,93,2021-05-22,2902
604,1092,23,0,23,137,2,139,2021-05-21,3199
620,1133,23,0,23,146,10,156,2021-05-20,3286
634,1175,24,0,24,135,6,141,2021-05-19,3702
655,1271,34,0,34,154,5,159,2021-05-18,4063
681,1317,38,0,38,188,6,194,2021-05-17,4227
681,1231,25,0,25,128,7,135,2021-05-16,4000
704,1254,33,0,33,139,3,142,2021-05-15,4108
725,1367,33,0,33,206,2,208,2021-05-14,4209
725,1300,27,0,27,146,2,148,2021-05-13,4352
740,1418,38,0,38,171,4,175,2021-05-12,5139
750,1495,41,0,41,189,3,192,2021-05-11,5515
761,1555,36,0,36,247,3,250,2021-05-10,5926
778,1459,36,0,36,162,3,165,2021-05-09,5154
787,1485,38,0,38,150,4,154,2021-05-08,5706
805,1606,46,0,46,230,3,233,2021-05-07,6204
818,1598,45,0,45,214,5,219,2021-05-06,6097
837,1578,43,1,44,194,4,198,2021-05-05,6854
851,1699,51,0,51,225,5,230,2021-05-04,7062
850,1756,51,0,51,275,6,281,2021-05-03,7279
853,1652,68,0,68,182,4,186,2021-05-02,6524
820,1698,38,0,38,177,0,177,2021-05-01,6825
836,1828,50,0,50,252,6,258,2021-04-30,7407
844,1846,67,0,67,281,3,284,2021-04-29,7487
837,1813,49,0,49,329,5,334,2021-04-28,8026
840,1685,54,0,54,182,7,189,2021-04-27,7097
841,1772,60,0,60,327,6,333,2021-04-26,7382
839,1606,44,0,44,220,4,224,2021-04-25,6454
841,1578,52,0,52,199,4,203,2021-04-24,6928
856,1697,65,0,65,252,14,266,2021-04-23,7285
841,1723,45,0,45,229,7,236,2021-04-22,7665
841,1722,53,0,53,273,4,277,2021-04-21,8384
832,1724,52,0,52,278,9,287,2021-04-20,8435
845,1714,66,0,66,328,5,333,2021-04-19,8809
824,1521,55,0,55,209,4,213,2021-04-18,7494
820,1488,54,0,54,202,5,207,2021-04-17,7827
813,1565,53,0,53,252,6,258,2021-04-16,7883
818,1528,63,0,63,231,9,240,2021-04-15,7800
802,1551,55,0,55,240,5,245,2021-04-14,8110
796,1580,44,0,44,218,5,223,2021-04-13,7889
809,1634,49,0,49,234,10,244,2021-04-12,7830
805,1560,57,0,57,194,6,200,2021-04-11,6726
802,1547,53,0,53,201,2,203,2021-04-10,7202
811,1639,55,0,55,288,7,295,2021-04-09,7330
808,1620,47,0,47,238,10,248,2021-04-08,7364
805,1653,66,1,67,238,9,247,2021-04-07,7868
786,1663,55,0,55,274,6,280,2021-04-06,7753
771,1559,54,0,54,221,6,227,2021-04-05,6646
762,1487,54,0,54,203,5,208,2021-04-04,6106
748,1473,47,0,47,163,2,165,2021-04-03,6483
739,1568,68,1,69,225,9,234,2021-04-02,6611
704,1636,46,0,46,259,4,263,2021-04-01,6712
710,1625,60,0,60,249,11,260,2021-03-31,7373
696,1665,50,0,50,241,5,246,2021-03-30,7165
695,1684,50,0,50,331,11,342,2021-03-29,7321
672,1498,35,0,35,187,5,192,2021-03-28,6315
666,1480,39,0,39,155,6,161,2021-03-27,6927
664,1554,60,0,60,275,3,278,2021-03-26,7349
659,1532,59,0,59,238,7,245,2021-03-25,7271
640,1536,38,0,38,236,7,243,2021-03-24,7802
641,1528,40,0,40,217,9,226,2021-03-23,7707
648,1561,41,0,41,276,4,280,2021-03-22,7598
635,1427,53,0,53,192,3,195,2021-03-21,6647
615,1375,37,0,37,171,2,173,2021-03-20,6853
609,1422,49,0,49,217,3,220,2021-03-19,6721
596,1417,54,0,54,230,8,238,2021-03-18,6653
588,1375,38,0,38,191,9,200,2021-03-17,7083
607,1386,45,0,45,209,4,213,2021-03-16,6840
598,1379,45,0,45,216,3,219,2021-03-15,6686
582,1259,42,0,42,154,6,160,2021-03-14,5600
576,1233,35,0,35,160,8,168,2021-03-13,6064
588,1271,31,0,31,184,7,191,2021-03-12,6047
599,1268,42,0,42,187,4,191,2021-03-11,5814
598,1281,43,0,43,182,11,193,2021-03-10,6087
587,1309,35,0,35,181,8,189,2021-03-09,5794
596,1308,43,0,43,218,9,227,2021-03-08,5698
571,1197,33,0,33,150,5,155,2021-03-07,4755
570,1175,38,0,38,114,9,123,2021-03-06,4786
561,1256,36,0,36,171,9,180,2021-03-05,4816
567,1271,43,0,43,170,5,175,2021-03-04,4321
554,1289,34,0,34,147,6,153,2021-03-03,4744
566,1338,39,0,39,167,7,174,2021-03-02,4669
572,1357,51,1,52,230,8,238,2021-03-01,4894
541,1233,42,0,42,146,9,155,2021-02-28,4044
523,1217,22,0,22,131,3,134,2021-02-27,4242
540,1272,29,0,29,190,8,198,2021-02-26,4244
555,1286,47,0,47,154,7,161,2021-02-25,4197
545,1325,30,1,31,176,8,184,2021-02-24,4662
548,1340,25,0,25,160,6,166,2021-02-23,4695
563,1353,32,0,32,211,9,220,2021-02-22,4889
553,1240,36,0,36,125,7,132,2021-02-21,4188
537,1243,39,0,39,124,3,127,2021-02-20,4323
531,1338,32,0,32,157,6,163,2021-02-19,4337
528,1360,25,1,26,193,9,202,2021-02-18,4440
541,1354,36,0,36,163,10,173,2021-02-17,4587
541,1368,39,0,39,174,5,179,2021-02-16,4399
546,1385,36,0,36,213,4,217,2021-02-15,4067
533,1275,26,0,26,138,5,143,2021-02-14,3494
527,1269,22,0,22,111,3,114,2021-02-13,3366
533,1369,33,0,33,179,4,183,2021-02-12,3452
538,1391,30,0,30,176,9,185,2021-02-11,3489
542,1402,30,0,30,187,5,192,2021-02-10,3629
540,1404,19,1,20,188,5,193,2021-02-09,3847
543,1431,32,0,32,191,4,195,2021-02-08,3486
532,1326,22,0,22,118,3,121,2021-02-07,2987
546,1344,20,0,20,128,3,131,2021-02-06,3301
573,1468,19,0,19,181,12,193,2021-02-05,3606
603,1480,25,0,25,188,11,199,2021-02-04,3593
628,1511,30,0,30,169,8,177,2021-02-03,3855
643,1568,28,0,28,179,7,186,2021-02-02,3845
662,1601,29,1,30,229,6,235,2021-02-01,4060
659,1498,35,2,37,148,6,154,2021-01-31,3398
642,1462,31,0,31,130,4,134,2021-01-30,3553
656,1532,27,0,27,218,6,224,2021-01-29,3830
661,1520,43,1,44,203,3,206,2021-01-28,3841
659,1562,28,0,28,179,6,185,2021-01-27,4291
685,1626,34,0,34,175,8,183,2021-01-26,4166
692,1671,52,1,53,205,6,211,2021-01-25,4486
671,1577,27,0,27,151,1,152,2021-01-24,3842
672,1569,34,0,34,158,4,162,2021-01-23,4242
683,1643,35,0,35,206,6,212,2021-01-22,4551
691,1667,40,0,40,229,9,238,2021-01-21,4602
686,1667,33,0,33,184,4,188,2021-01-20,5322
694,1745,32,1,33,217,6,223,2021-01-19,5314
702,1757,42,0,42,246,9,255,2021-01-18,5571
691,1630,38,0,38,147,6,153,2021-01-17,4675
683,1677,27,0,27,163,3,166,2021-01-16,4881
701,1804,37,0,37,216,9,225,2021-01-15,5349
708,1824,34,1,35,207,8,215,2021-01-14,5078
725,1885,36,0,36,238,6,244,2021-01-13,5711
724,1943,45,0,45,210,8,218,2021-01-12,6003
719,2009,37,1,38,275,8,283,2021-01-11,6041
707,1874,32,0,32,187,3,190,2021-01-10,5165
710,1865,32,0,32,162,2,164,2021-01-09,5429
729,2041,43,0,43,242,7,249,2021-01-08,5776
733,2103,38,0,38,241,7,248,2021-01-07,6081
734,2158,45,0,45,243,8,251,2021-01-06,6768
747,2215,54,0,54,281,6,287,2021-01-05,7102
751,2251,59,0,59,331,5,336,2021-01-04,8346
733,2128,44,0,44,229,7,236,2021-01-03,7546
731,2104,39,0,39,233,2,235,2021-01-02,6979
727,2054,40,0,40,213,3,216,2021-01-01,6772
740,2216,39,1,40,264,5,269,2020-12-31,7021
