Date_adj,Age_group,Hospital_admission,IC_admission,Infection
2020-03-23,0-19,16.0,1.0,71
2020-03-23,20-29,28.0,6.0,504
2020-03-23,30-39,90.0,10.0,551
2020-03-23,40-49,190.0,44.0,718
2020-03-23,50-59,547.0,147.0,1176
2020-03-23,60-69,730.0,246.0,971
2020-03-23,70-79,1072.0,273.0,1148
2020-03-23,80-89,564.0,23.0,1280
2020-03-23,90+,53.0,0.0,462
2020-03-30,0-19,12.0,1.0,105
2020-03-30,20-29,28.0,2.0,692
2020-03-30,30-39,73.0,19.0,587
2020-03-30,40-49,178.0,41.0,843
2020-03-30,50-59,404.0,121.0,1351
2020-03-30,60-69,611.0,215.0,823
2020-03-30,70-79,695.0,217.0,831
2020-03-30,80-89,357.0,12.0,1204
2020-03-30,90+,64.0,0.0,518
2020-04-06,0-19,5.0,0.0,90
2020-04-06,20-29,30.0,5.0,695
2020-04-06,30-39,38.0,8.0,658
2020-04-06,40-49,115.0,32.0,763
2020-04-06,50-59,290.0,81.0,1279
2020-04-06,60-69,382.0,128.0,751
2020-04-06,70-79,376.0,80.0,731
2020-04-06,80-89,236.0,9.0,1134
2020-04-06,90+,47.0,0.0,548
2020-04-13,0-19,7.0,1.0,95
2020-04-13,20-29,12.0,2.0,592
2020-04-13,30-39,36.0,6.0,413
2020-04-13,40-49,66.0,19.0,551
2020-04-13,50-59,174.0,50.0,876
2020-04-13,60-69,210.0,66.0,484
2020-04-13,70-79,219.0,50.0,415
2020-04-13,80-89,147.0,6.0,872
2020-04-13,90+,36.0,0.0,448
2020-04-20,0-19,3.0,0.0,56
2020-04-20,20-29,15.0,1.0,360
2020-04-20,30-39,21.0,1.0,278
2020-04-20,40-49,45.0,7.0,356
2020-04-20,50-59,103.0,30.0,503
2020-04-20,60-69,143.0,47.0,294
2020-04-20,70-79,130.0,35.0,290
2020-04-20,80-89,102.0,4.0,606
2020-04-20,90+,21.0,0.0,313
2020-04-27,0-19,0.0,0.0,44
2020-04-27,20-29,10.0,2.0,241
2020-04-27,30-39,11.0,2.0,186
2020-04-27,40-49,31.0,6.0,250
2020-04-27,50-59,78.0,17.0,339
2020-04-27,60-69,76.0,36.0,213
2020-04-27,70-79,96.0,23.0,190
2020-04-27,80-89,67.0,0.0,398
2020-04-27,90+,22.0,0.0,179
2020-05-04,0-19,6.0,1.0,48
2020-05-04,20-29,5.0,1.0,180
2020-05-04,30-39,16.0,3.0,151
2020-05-04,40-49,23.0,5.0,150
2020-05-04,50-59,55.0,11.0,249
2020-05-04,60-69,58.0,14.0,143
2020-05-04,70-79,54.0,7.0,143
2020-05-04,80-89,60.0,3.0,257
2020-05-04,90+,16.0,0.0,127
2020-05-11,0-19,2.0,0.0,53
2020-05-11,20-29,5.0,1.0,152
2020-05-11,30-39,8.0,0.0,119
2020-05-11,40-49,14.0,3.0,133
2020-05-11,50-59,35.0,9.0,212
2020-05-11,60-69,39.0,13.0,140
2020-05-11,70-79,47.0,7.0,99
2020-05-11,80-89,45.0,1.0,204
2020-05-11,90+,10.0,0.0,92
2020-05-18,0-19,4.0,0.0,71
2020-05-18,20-29,3.0,0.0,243
2020-05-18,30-39,6.0,1.0,193
2020-05-18,40-49,10.0,0.0,167
2020-05-18,50-59,19.0,9.0,217
2020-05-18,60-69,28.0,5.0,122
2020-05-18,70-79,41.0,7.0,88
2020-05-18,80-89,34.0,3.0,107
2020-05-18,90+,7.0,0.0,63
2020-05-25,0-19,0.0,0.0,97
2020-05-25,20-29,4.0,0.0,193
2020-05-25,30-39,5.0,0.0,170
2020-05-25,40-49,11.0,1.0,183
2020-05-25,50-59,24.0,7.0,171
2020-05-25,60-69,27.0,3.0,89
2020-05-25,70-79,36.0,4.0,69
2020-05-25,80-89,25.0,0.0,66
2020-05-25,90+,5.0,1.0,42
2020-06-01,0-19,0.0,0.0,103
2020-06-01,20-29,2.0,0.0,184
2020-06-01,30-39,3.0,2.0,166
2020-06-01,40-49,9.0,2.0,168
2020-06-01,50-59,11.0,6.0,182
2020-06-01,60-69,17.0,6.0,99
2020-06-01,70-79,19.0,5.0,43
2020-06-01,80-89,19.0,3.0,64
2020-06-01,90+,2.0,0.0,27
2020-06-08,0-19,2.0,0.0,120
2020-06-08,20-29,1.0,0.0,188
2020-06-08,30-39,3.0,0.0,168
2020-06-08,40-49,3.0,1.0,137
2020-06-08,50-59,11.0,3.0,150
2020-06-08,60-69,6.0,2.0,79
2020-06-08,70-79,11.0,3.0,35
2020-06-08,80-89,10.0,1.0,39
2020-06-08,90+,4.0,0.0,13
2020-06-15,0-19,5.0,0.0,74
2020-06-15,20-29,1.0,0.0,109
2020-06-15,30-39,2.0,0.0,117
2020-06-15,40-49,3.0,1.0,107
2020-06-15,50-59,8.0,2.0,78
2020-06-15,60-69,1.0,1.0,38
2020-06-15,70-79,5.0,1.0,14
2020-06-15,80-89,6.0,1.0,22
2020-06-15,90+,3.0,0.0,7
2020-06-22,0-19,2.0,0.0,57
2020-06-22,20-29,3.0,1.0,106
2020-06-22,30-39,2.0,0.0,109
2020-06-22,40-49,6.0,1.0,87
2020-06-22,50-59,7.0,2.0,77
2020-06-22,60-69,3.0,0.0,33
2020-06-22,70-79,5.0,1.0,15
2020-06-22,80-89,4.0,0.0,19
2020-06-22,90+,0.0,0.0,11
2020-06-29,0-19,1.0,0.0,62
2020-06-29,20-29,1.0,0.0,103
2020-06-29,30-39,2.0,0.0,62
2020-06-29,40-49,1.0,1.0,62
2020-06-29,50-59,5.0,4.0,68
2020-06-29,60-69,4.0,0.0,42
2020-06-29,70-79,1.0,0.0,15
2020-06-29,80-89,3.0,0.0,12
2020-06-29,90+,3.0,0.0,4
2020-07-06,0-19,1.0,0.0,108
2020-07-06,20-29,0.0,0.0,159
2020-07-06,30-39,0.0,1.0,132
2020-07-06,40-49,2.0,1.0,134
2020-07-06,50-59,5.0,1.0,120
2020-07-06,60-69,3.0,3.0,51
2020-07-06,70-79,4.0,0.0,36
2020-07-06,80-89,8.0,0.0,7
2020-07-06,90+,0.0,0.0,1
2020-07-13,0-19,1.0,0.0,155
2020-07-13,20-29,0.0,0.0,284
2020-07-13,30-39,2.0,0.0,222
2020-07-13,40-49,4.0,0.0,186
2020-07-13,50-59,6.0,0.0,192
2020-07-13,60-69,7.0,0.0,120
2020-07-13,70-79,8.0,3.0,56
2020-07-13,80-89,4.0,0.0,26
2020-07-13,90+,1.0,0.0,6
2020-07-20,0-19,0.0,0.0,196
2020-07-20,20-29,2.0,1.0,490
2020-07-20,30-39,3.0,2.0,323
